rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,semanticScholarUrl,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1987,Connexin43: a protein from rat heart homologous to a gap junction protein from liver,"E. Beyer, D. Paul, D. Goodenough",Journal of Cell Biology,1987-12-01,1113,51,159.68,Computational Neuroscience and Brain-Inspired AI,brain-structure;neural-signals,Northern blot analysis of rat heart mRNA probed with a cDNA coding for the principal polypeptide of rat liver gap junctions demonstrated a 3.0- kb band.,"high citation signal (1,113); recognized venue; open-access PDF metadata; brain-structure signal","Model fit does not by itself prove biological mechanism.; Brain-inspired analogies can become too loose unless tied to measurable neural evidence.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1083/jcb.105.6.2621,65c3cdceea9a7ee2cc9b1a162a1b53581d1c9a21,https://doi.org/10.1083/jcb.105.6.2621,,http://jcb.rupress.org/content/105/6/2621.full.pdf,,JournalArticle,unknown,brain; eeg; meg; ecog; historical computation/learning bridge,"Northern blot analysis of rat heart mRNA probed with a cDNA coding for the principal polypeptide of rat liver gap junctions demonstrated a 3.0- kb band. This band was observed only after hybridization and washing using low stringency conditions; high stringency conditions abolished the hybridization. A rat heart cDNA library was screened with the same cDNA probe under the permissive hybridization conditions, and a single positive clone identified and purified. The clone contained a 220-bp insert, which showed 55% homology to the original cDNA probe near the 5' end. The 220-bp cDNA was used to rescreen a heart cDNA library under high stringency conditions, and three additional cDNAs that together spanned 2,768 bp were isolated. This composite cDNA contained a single 1,146-bp open reading frame coding for a predicted polypeptide of 382 amino acids with a molecular mass of 43,036 D. Northern analysis of various rat tissues using this heart cDNA as probe showed hybridization to 3.0-kb bands in RNA isolated from heart, ovary, uterus, kidney, and lens epithelium. Comparisons of the predicted amino acid sequences for the two gap junction proteins isolated from heart and liver showed two regions of high homology (58 and 42%), and other regions of little or no homology. A model is presented which indicates that the conserved sequences correspond to transmembrane and extracellular regions of the junctional molecules, while the nonconserved sequences correspond to cytoplasmic regions. Since it has been shown previously that the original cDNA isolated from liver recognizes mRNAs in stomach, kidney, and brain, and it is shown here that the cDNA isolated from heart recognizes mRNAs in ovary, uterus, lens epithelium, and kidney, a nomenclature is proposed which avoids categorization by organ of origin. In this nomenclature, the homologous proteins in gap junctions would be called connexins, each distinguished by its predicted molecular mass in kilodaltons. The gap junction protein isolated from liver would then be called connexin32; from heart, connexin43."
2,1987,A fluid percussion model of experimental brain injury in the rat.,"C. Dixon, B. G. Lyeth, J. Povlishock, R. Findling, R. Hamm, A. Marmarou, et al.",Journal of Neurosurgery,1987-07-01,1058,84,158.57,Computational Neuroscience and Brain-Inspired AI,brain-structure,Positions A fluid percussion model of experimental brain injury in the rat. within Computational Neuroscience and AI.,"high citation signal (1,058); brain-structure signal","Model fit does not by itself prove biological mechanism.; Brain-inspired analogies can become too loose unless tied to measurable neural evidence.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.3171/JNS.1987.67.1.0110,070dc5bc5f8b8d4b98ffd0fc1dbe1628b0774257,https://doi.org/10.3171/JNS.1987.67.1.0110,,,,JournalArticle,unknown,brain; computational neuroscience; brain/neural structure in title; explicit brain-structure/AI bridge,
3,1987,EEG alpha map series: brain micro-states by space-oriented adaptive segmentation.,"D. Lehmann, H. Ozaki, I. Pal",Electroencephalography and Clinical Neurophysiology,1987-09-01,886,54,140.18,Structural Neuroimaging and AI,brain-structure;connectome;neuroimaging;neural-signals;clinical-neuroai,"Positions EEG alpha map series: brain micro-states by space-oriented adaptive segmentation. within EEG, MEG, and Electrophysiology.",high citation signal (886); brain-structure signal,"Scanner, site, protocol, and preprocessing differences can be learned as shortcuts by AI models.; High predictive accuracy does not guarantee anatomical validity or causal interpretation.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1016/0013-4694(87)90025-3,8c13c6118d0c7f0f36986bf1b0fde37a77855885,https://doi.org/10.1016/0013-4694(87)90025-3,,,,JournalArticle,unknown,brain; eeg; meg; brain/neural structure in title,
4,1987,Seeing and imagining in the cerebral hemispheres: a computational approach.,S. Kosslyn,Psychology Review,1987-04-01,877,59,149.2,Computational Neuroscience and Brain-Inspired AI,brain-structure,Positions Seeing and imagining in the cerebral hemispheres: a computational approach. within Computational Neuroscience and AI.,high citation signal (877); brain-structure signal,"Model fit does not by itself prove biological mechanism.; Brain-inspired analogies can become too loose unless tied to measurable neural evidence.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1037/0033-295X.94.2.148,805b5bfe37b95a0b6330c8365fcbabbd4ae9a65a,https://doi.org/10.1037/0033-295X.94.2.148,,,,JournalArticle; Review,unknown,cerebral; computational neuroscience; explicit brain-structure/AI bridge,
5,1987,Numbers and proportions of GABA-immunoreactive neurons in different areas of monkey cerebral cortex,"S. Hendry, H. Schwark, E. Jones, J. Yan",Journal of Neuroscience,1987-05-01,586,29,144.95,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,"e determined for 50-micron-wide columns through the thickness of 10 areas of monkey cerebral cortex, including the precentral motor area (area 4), 3 cytoarchitectonic fields of the first somatic sensory area (areas 3b, 1, and 2), 2 areas of parietal association cortex (areas 5 and 7), the first and second visual areas (areas 17 and 18), area 21 of the temporal lobe, and areas of the orbital and lateral frontal cortex.",high citation signal (586); recognized venue; open-access PDF metadata; brain-structure signal,"Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1523/JNEUROSCI.07-05-01503.1987,5d8017186774a7c958f6796cc00a240afd2822c7,https://doi.org/10.1523/JNEUROSCI.07-05-01503.1987,,https://www.jneurosci.org/content/jneuro/7/5/1503.full.pdf,,JournalArticle,unknown,cerebral; cortex; cortical; neuron; brain/neural structure in title,"The number and proportion of neurons displaying GABA immunoreactivity were determined for 50-micron-wide columns through the thickness of 10 areas of monkey cerebral cortex, including the precentral motor area (area 4), 3 cytoarchitectonic fields of the first somatic sensory area (areas 3b, 1, and 2), 2 areas of parietal association cortex (areas 5 and 7), the first and second visual areas (areas 17 and 18), area 21 of the temporal lobe, and areas of the orbital and lateral frontal cortex. Methods of fixation and immunocytochemical processing were designed to maximize the number of stained cells in 15-micron-thick frozen sections and 1-micron-thick plastic sections. In 8 of the 10 areas the number and proportion of GABA-immunoreactive neurons per 50-micron-wide column were found to be the same (34-43 cells/column; 25% of the total neuronal population). Areas 17 and 3b differed. Area 17 contained 50% more GABA-immunoreactive neurons (52-66 cells/column) but more than twice the total number of neurons, so that the GABA cells made up less than 20% of the total. In 3 monkeys, the number and proportion of GABA- positive neurons per 50-micron-wide column in area 3b were smaller than in adjacent areas of sensorimotor cortex (26-42 cells/column; 19-22%). In 2 other monkeys, the number and proportion (34-43 cells/column; 24- 26%) were the same as in adjacent areas. Despite the similarity among most areas of monkey cortex, within some areas, the number of GABA- positive neurons per 50-micron-wide column varied as much as 30%. These variations form a significant, repeating pattern only in area 18, where narrow bands (150-200 micron wide) of relatively few stained cells alternated with either narrow or wide bands (600-700 micron wide) in which columns contained more cells. The GABA-immunoreactive neurons were unevenly distributed across layers, with every area containing large numbers and proportions of stained cells in layer II, and every area but area 4 displaying a second concentration in the principal thalamocortical recipient layers. In area 4, the number of GABA- positive neurons declined sharply from layer II to layer III and remained low through layer VI. For areas displaying the greatest intra- areal variability, only 1 or 2 layers contributed significantly to that variability (layer IV in area 3b, layers III and V in area 18, and layers II and III in area 17).(ABSTRACT TRUNCATED AT 400 WORDS)"
6,1987,Neural correlates of encoding in an incidental learning paradigm.,"K. Paller, M. Kutas, A. Mayes",Electroencephalography and Clinical Neurophysiology,1987-10-01,575,29,138.01,"Connectomics, Graph Models, and Brain Networks",connectome;neural-signals;clinical-neuroai,"Positions Neural correlates of encoding in an incidental learning paradigm. within EEG, MEG, and Electrophysiology.",high citation signal (575); brain-structure signal,"Graph results can depend strongly on parcellation, thresholding, acquisition, and preprocessing choices.; Correlation networks are often interpreted more causally than the evidence supports.; Signal drift, artifacts, and session effects can limit real-world decoding reliability.",10.1016/0013-4694(87)90124-6,4d33c945218a2aa615d67acbe886bf20007e64b0,https://doi.org/10.1016/0013-4694(87)90124-6,,,,JournalArticle,unknown,eeg; meg; neural; brain/neural structure in title; historical computation/learning bridge,
7,1987,Circadian rhythmicity restored by neural transplant. Immunocytochemical characterization of the graft and its integration with the host brain,"M. Lehman, R. Silver, W. Gladstone, R. Kahn, M. Gibson, E. Bittman",Journal of Neuroscience,1987-06-01,557,18,166.44,General Brain-AI Structure Reviews and Methods,brain-structure;machine-learning;neuromorphic-bci,It is well established that overt circadian rhythms are permanently disrupted following lesions of the hamster hypothalamic suprachiasmatic nucleus (SCN).,high citation signal (557); recognized venue; open-access PDF metadata; explicit AI/modeling signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Model performance should be checked for leakage, confounding, calibration, and external validity.",10.1523/JNEUROSCI.07-06-01626.1987,4855ee481e3e4092f52b9adf5913e44b4f6d6a19,https://doi.org/10.1523/JNEUROSCI.07-06-01626.1987,,https://www.jneurosci.org/content/jneuro/7/6/1626.full.pdf,,JournalArticle,unknown,brain; neural; bci; brain/neural structure in title; explicit brain-structure/AI bridge,"It is well established that overt circadian rhythms are permanently disrupted following lesions of the hamster hypothalamic suprachiasmatic nucleus (SCN). In the present study, we show that implantations of brain grafts containing the fetal SCN reestablish circadian rhythms of locomotor activity in adult hamsters previously made arrhythmic by SCN lesions. The restoration of free-running rhythms in conditions of constant darkness is correlated with the presence in the graft of neuropeptides normally present in the SCN of unlesioned hamsters, including vasoactive intestinal polypeptide (VIP), neuropeptide Y (NPY), and vasopressin (VP). In several recipients, grafts were found to receive retinal input, and appeared to send efferents into the host brain. Not all functions of the SCN were reinstated by the graft: animals with restored locomotor rhythms did not show gonadal regression in the absence of light, and failed to synchronize (entrain) to light intensities to which SCN-intact animals responded."
8,1987,Decreased fentanyl and alfentanil dose requirements with age. A simultaneous pharmacokinetic and pharmacodynamic evaluation.,"J. Scott, D. Stanski",Journal of Pharmacology and Experimental Therapeutics,1987-01-01,499,19,130.66,"Electrophysiology, Neural Signals, and AI Decoding",brain-structure;connectome;neural-signals;clinical-neuroai,The effect of increasing age on the dose of fentanyl or alfentanil required to produce the same electroencephalographic (EEG) stage was studied in adult male patients.,high citation signal (499); brain-structure signal,"Signal artifacts, montage choices, source localization, and session drift can dominate apparent model performance.; Temporal precision does not automatically imply anatomical specificity.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1097/00132586-198710000-00044,6f1de6f81513a80fb8dc9b7b73b5f30c0862e77d,https://doi.org/10.1097/00132586-198710000-00044,,,,JournalArticle,unknown,brain; eeg; meg; historical computation/learning bridge,"The effect of increasing age on the dose of fentanyl or alfentanil required to produce the same electroencephalographic (EEG) stage was studied in adult male patients. The pharmacokinetic and pharmacodynamic components of each patient's dose-response relationship were evaluated simultaneously. Frequent arterial blood samples drawn during and after an infusion of fentanyl or alfentanil were assayed by radioimmunoassay and permitted determination of each patient's pharmacokinetic profile. The EEG was analyzed by power spectral analysis and a parameter (spectral edge frequency) chosen to quantitate the narcotic-induced EEG slowing. An inhibitory sigmoid Emax pharmacodynamic model related spectral edge frequency to narcotic serum concentrations. The dose requirement of fentanyl or alfentanil decreased significantly with increasing age (a 50% decrease from age 20 to 89). No age-related changes in the pharmacokinetic parameters were found. Brain sensitivity (as determined by EEG changes) did decrease significantly with age. Thus, the decreased dose requirement in the elderly had a pharmacodynamic explanation, using the EEG as a measure of narcotic drug effect."
9,1987,Physiological basis of motor effects of a transient stimulus to cerebral cortex.,"V. Amassian, M. Stewart, G. Quirk, J. Rosenthal",Neurosurgery,1987,487,23,124.63,General Brain-AI Structure Reviews and Methods,brain-structure,Positions Physiological basis of motor effects of a transient stimulus to cerebral cortex. within General Brain Science and Reviews.,high citation signal (487); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1097/00006123-198701000-00022,500167a1a67d518899e3142c3685b8f55e2b3cfe,https://doi.org/10.1097/00006123-198701000-00022,,,,Review; JournalArticle,unknown,brain; cerebral; cortex; brain/neural structure in title,
10,1987,"Brain sizes, surfaces, and neuronal sizes of the cortex cerebri: a stereological investigation of man and his variability and a comparison with some mammals (primates, whales, marsupials, insectivores, and one elephant).",H. Haug,American Journal of Anatomy,1987-10-01,462,45,123.68,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,"Positions Brain sizes, surfaces, and neuronal sizes of the cortex cerebri: a stereological investigation of man and his variability and a comparison with some mammals (primates, whales, marsupials, insectivores, and one elephant). within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (462); brain-structure signal,"Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1002/AJA.1001800203,85387eac715b200f87829736dce8176446c56384,https://doi.org/10.1002/AJA.1001800203,,,,JournalArticle; Study,unknown,brain; cortex; neuron; brain/neural structure in title,
