rank,year,category,keywordTags,title,authors,venue,citationCount,importanceScore,keyIdea,strengths,limitations,url,doi,sourceId
1,1900,"Electrophysiology, Neural Signals, and AI Decoding",brain-structure;neural-signals,Hughlings Jackson and the Cortical Motor Centres in the Light of Physiological Research,E. Hitzig,British medical journal,40,78.24,"Two cases are mentioned by Byrom Bramwell, and two probable cases by Sternberg.",high citation signal (40); open-access PDF metadata; brain-structure signal,"Signal artifacts, montage choices, source localization, and session drift can dominate apparent model performance.; Temporal precision does not automatically imply anatomical specificity.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1136/bmj.2.2083.1564,10.1136/bmj.2.2083.1564,2e877e4462d51a9abde3a79f180cd6bb78c2e220
2,1900,"Connectomics, Graph Models, and Brain Networks",brain-structure;connectome,Some recent researches on the topography of the convolutions and fissures of the brain,"E. H. Taylor, W. Haughton",Unknown venue,33,73.87,Positions Some recent researches on the topography of the convolutions and fissures of the brain within General Brain Science and Reviews.,high citation signal (33); brain-structure signal,"Graph results can depend strongly on parcellation, thresholding, acquisition, and preprocessing choices.; Correlation networks are often interpreted more causally than the evidence supports.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1007/BF03045171,10.1007/BF03045171,a1655c41b66c7da2c85d48ba53d81517c29ce7c7
3,1900,General Brain-AI Structure Reviews and Methods,brain-structure,The Anatomy of the Brain,F. Davis,Buffalo Medical Journal,21,64.84,Positions The Anatomy of the Brain within General Brain Science and Reviews.,high citation signal (21); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://www.semanticscholar.org/paper/704cf702361ce92ac07db18e62ba5a4c9fe10a17,,704cf702361ce92ac07db18e62ba5a4c9fe10a17
4,1900,"Cognitive Architectures, Learning, and Systems Neuroscience",neural-signals;clinical-neuroai,Death by Starvation,J. Morley,The Hospital,20,61.2,he article by Rudman and Feller' in this issue of the journal serves to highlight the poor nutritional status of America's institutionalized elT derly.,high citation signal (20),"Task designs can oversimplify cognition and limit ecological validity.; Circuit-behavior correlations need causal perturbation or strong model comparison before mechanistic claims are secure.; Signal drift, artifacts, and session effects can limit real-world decoding reliability.",https://doi.org/10.1111/j.1532-5415.1989.tb05881.x,10.1111/j.1532-5415.1989.tb05881.x,3e2672b9bfe1c58d99d9a400fb900e30b0cfda64
5,1900,Clinical NeuroAI and Brain Disorders,clinical-neuroai,EXPERIMENTAL AND CLINICAL NOTES ON THE SUBARACHNOID SPACE.,"D. Tait, Guido Caglieri",Unknown venue,19,58.12,"From the exclusive domain of anatomy and physiology the meningeal route has made its way through the work of clinicians, to the sphere of practical medicine and surgery.",high citation signal (19); open-access PDF metadata,"Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",https://doi.org/10.1001/JAMA.1900.24620270006001A,10.1001/JAMA.1900.24620270006001A,2a71ee28cc6587908c4d5a6ce9436f1935b8cbb3
6,1900,General Brain-AI Structure Reviews and Methods,brain-structure,Studies on the Geotropism of Stems. II,E. B. Copeland,Botanical Gazette,18,61.2,"THE hypocotyl of Cucurbita, and, I suppose, of every plant whose cotyledons expand and act as leaves, is negatively geotropic in its ultimate reaction.",high citation signal (18); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1086/328122,10.1086/328122,ee790553662782c8c6a7bd7b7b4056d4ee80f0ca
7,1900,General Brain-AI Structure Reviews and Methods,,"Observations on the weight and length of the central nervous system and of the legs in frogs, of different sizes (Rana virescens brachycephala- cope)","H. H. Donaldson, D. Schoemaker",Unknown venue,14,50.74,"Positions Observations on the weight and length of the central nervous system and of the legs in frogs, of different sizes (Rana virescens brachycephala- cope) within General Brain Science and Reviews.",high citation signal (14),"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",https://doi.org/10.1002/cne.910100105,10.1002/cne.910100105,0a64e54dc23a4fc2f269388e40904450a55cab99
8,1900,General Brain-AI Structure Reviews and Methods,brain-structure,The Pathology of the Emotions,J. Macpherson,Edinburgh medical journal,13,52.7,"with which he deals. Consequently, the book is not one which it is possible to skim through in an idle hour.",high citation signal (13); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://www.semanticscholar.org/paper/59ae6ecb7f8ac192098dc45e9c402f6b38680c7f,,59ae6ecb7f8ac192098dc45e9c402f6b38680c7f
9,1900,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,"General Physiology, an Outline of the Science of Life","Max Verworn, F. S. Lee",The Indian medical gazette,9,47.65,"is as good as the translation, it is very good indeed.",high citation signal (9); open-access PDF metadata; brain-structure signal,"Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.5962/BHL.TITLE.24720,10.5962/BHL.TITLE.24720,a5d6f983a53c4a5d18fb7ab75052e2fe25267410
10,1900,General Brain-AI Structure Reviews and Methods,,The Gross and Minute Anatomy of the Central Nervous System,H. C. Gordinier,Unknown venue,8,44.55,Positions The Gross and Minute Anatomy of the Central Nervous System within General Brain Science and Reviews.,high citation signal (8); open-access PDF metadata,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",https://doi.org/10.1097/00005053-190006000-00022,10.1097/00005053-190006000-00022,44fad0492cf72904841526e7ffc6e4df0c6e80de
