rank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,keywordTags,keyIdea,strengths,limitations,doi,sourceId,url,semanticScholarUrl,openAccessPdf,githubUrl,workType,language,relevanceReason,abstract
1,1900,Hughlings Jackson and the Cortical Motor Centres in the Light of Physiological Research,E. Hitzig,British medical journal,1900-12-01,40,3,78.24,"Electrophysiology, Neural Signals, and AI Decoding",brain-structure;neural-signals,"Two cases are mentioned by Byrom Bramwell, and two probable cases by Sternberg.",high citation signal (40); open-access PDF metadata; brain-structure signal,"Signal artifacts, montage choices, source localization, and session drift can dominate apparent model performance.; Temporal precision does not automatically imply anatomical specificity.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1136/bmj.2.2083.1564,2e877e4462d51a9abde3a79f180cd6bb78c2e220,https://doi.org/10.1136/bmj.2.2083.1564,,https://zenodo.org/records/1585580/files/article.pdf,,JournalArticle,unknown,cortical; eeg; meg,"Two cases are mentioned by Byrom Bramwell, and two probable cases by Sternberg. As far as we can ascertain there has been no previous record of a common family predisposition to both disfases. Their occurrence in parent and child may be regarded as either accidental or otherwise. The fact that the father only developed symptoms of acromegaly fourteen years after the birth of the child puts out of the question the possibility that a specific poison which produced acromegaly in him was transmitted to his offspring, and in her produced myx2cedema. It is more probable that there was a weakneks of resistance common to both father and daughter, and that the former was unable to resist the factors producing acromegaly, while the latter succumbed to those of myxcedema. Now as the latter disease is universally allowed to be the outcome of diminished or abolished thyroidal activity, the inference is unavoidable that if we suppose a common predisposing cause for the two conditions, we thereby admit that some disturbance of the thyroidal functions is also one of the factors in the production of acromegaly. That this may be the case is suggested also by other facts. Most writers on the subject have referred to the many points of similarity between the two diseases. For instance, as stated by Sternberg: "" The tongue of cretins is often large, the lips-puffy, thick, the nose thick and snubbed. ""The long bones of cretins often appear very thick and coarse, owing to deficiency in growth and length. ' The skull of cretins is, as in acromegaly, a cranium progeneum. "" Enlarged sella turcica is present in such skulls, and the hypophysis is frequently diseamed, not seldom it is enlarged. "" On the other hand, symptoms in acromegaly frequently exist which recall myxcedema. Indolence is marked, but not so marked as in the latter disease, and the skin in parts of the body-for example, the back of the hands-resembles myxcedematous skin closely. "" Finally, in acromegaly, the thyroid gland is seldom found normal when examined histologically."" In our own case of the father there is some loss of hair, and the face has somewhat the flushed appearance of myxcedema. The hands were thickly padded, and these symptoms were relieved by the exhibition of thyroid extract. Finally, if we consider with some, that the overgrowth of the hypophysis is compensatory for the loss of thyroid function, we shall have less difficulty in seeing how a common predisposing condition to the two diseases may exist. We do not consider, however, that the facts we have presented warrant us in drawing more definite conclusions, but we think it desirable to place these cases on record."
2,1900,Some recent researches on the topography of the convolutions and fissures of the brain,"E. H. Taylor, W. Haughton",Unknown venue,1900-12-01,33,1,73.87,"Connectomics, Graph Models, and Brain Networks",brain-structure;connectome,Positions Some recent researches on the topography of the convolutions and fissures of the brain within General Brain Science and Reviews.,high citation signal (33); brain-structure signal,"Graph results can depend strongly on parcellation, thresholding, acquisition, and preprocessing choices.; Correlation networks are often interpreted more causally than the evidence supports.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1007/BF03045171,a1655c41b66c7da2c85d48ba53d81517c29ce7c7,https://doi.org/10.1007/BF03045171,,,,paper,unknown,brain; brain/neural structure in title,
3,1900,The Anatomy of the Brain,F. Davis,Buffalo Medical Journal,1900-09-01,21,0,64.84,General Brain-AI Structure Reviews and Methods,brain-structure,Positions The Anatomy of the Brain within General Brain Science and Reviews.,high citation signal (21); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",,704cf702361ce92ac07db18e62ba5a4c9fe10a17,https://www.semanticscholar.org/paper/704cf702361ce92ac07db18e62ba5a4c9fe10a17,,,,paper,unknown,brain; brain/neural structure in title,
4,1900,Death by Starvation,J. Morley,The Hospital,1900-08-11,20,0,61.2,"Cognitive Architectures, Learning, and Systems Neuroscience",neural-signals;clinical-neuroai,he article by Rudman and Feller' in this issue of the journal serves to highlight the poor nutritional status of America's institutionalized elT derly.,high citation signal (20),"Task designs can oversimplify cognition and limit ecological validity.; Circuit-behavior correlations need causal perturbation or strong model comparison before mechanistic claims are secure.; Signal drift, artifacts, and session effects can limit real-world decoding reliability.",10.1111/j.1532-5415.1989.tb05881.x,3e2672b9bfe1c58d99d9a400fb900e30b0cfda64,https://doi.org/10.1111/j.1532-5415.1989.tb05881.x,,,,JournalArticle,unknown,thalamus; ecog,"he article by Rudman and Feller' in this issue of the journal serves to highlight the poor nutritional status of America's institutionalized elT derly. A recent study by Silver et alz has suggested that the presence of a full-time dietitian and careful attention to dietary needs can reduce the prevalence of protein-energy malnutrition in a nursing home. What are the reasons for the high prevalence of malnutrition in most nursing homes? They can be summarized as ignorance and the lack of adequate funds being spent on feeding the institutionalized elderly. Ignorance comes in multiple forms. Many physicians are still unaware of the treatable causes of malnutrition. All too often an older patient who is losing weight is given the presumptive diagnosis of cancer without adequate investigation. Depression represents a major treatable cause of weight loss. Depression occurs commonly in institutionalized patients and weight loss as a symptom of depression is seen more often in the elderly than in the young. Animal and human studies have suggested that the anorexia seen in depression is related to elevated corticotropin releasing factor levels in the hyp~thalamus.~ Depressed patients with severe weight loss who are nonresponsive to antidepressants should receive a course of electroconvulsive therapy. There is increasing recognition that a number of eating disorders occur in older subjects. The situation that the geriatrician is most familiar with is the one where an older patient who has lost his or her locus of control uses food as a weapon in an attempt to manipulate the caregivers. In addition, there are now a number of clearly documented reports of anorexia nervosa occurring in elderly patients.' In an unpublished study we have noted that up to half of underweight older patients have abnormal attitudes toward eating and their body image"
5,1900,EXPERIMENTAL AND CLINICAL NOTES ON THE SUBARACHNOID SPACE.,"D. Tait, Guido Caglieri",Unknown venue,1900-07-07,19,1,58.12,Clinical NeuroAI and Brain Disorders,clinical-neuroai,"From the exclusive domain of anatomy and physiology the meningeal route has made its way through the work of clinicians, to the sphere of practical medicine and surgery.",high citation signal (19); open-access PDF metadata,"Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1001/JAMA.1900.24620270006001A,2a71ee28cc6587908c4d5a6ce9436f1935b8cbb3,https://doi.org/10.1001/JAMA.1900.24620270006001A,,https://zenodo.org/records/1815286/files/article.pdf,,paper,unknown,Semantic Scholar brain-AI query,"From the exclusive domain of anatomy and physiology the meningeal route has made its way through the work of clinicians, to the sphere of practical medicine and surgery. To Quincke is due the credit of having demonstarted the innocuousness of subarachnoid lumbar puncture, its facility of execution, and the harmlessness of the withdrawal of a considerable amount of cerebrospinal fluid. Soon after Quincke made his original communication concerning ""lumbal puncture,"" scores of physicians, in their enthusiasm for this new mode of relieving intradural pressure, predicted the curability of many diseases of the cerebrospinal system, previously deemed hopeless. In epilepsy, tuberculous meningitis and general paralysis many expected wonderful results. The German school, for example, singularly oblivious to the diffuse and deep cellular lesions present in tuberculosis of the meninges -the best known of all meningeal infections-adopted lumbar puncture as a logical and valuable therapeutic measure. A few doubtful cases of temporary"
6,1900,Studies on the Geotropism of Stems. II,E. B. Copeland,Botanical Gazette,1900-03-01,18,0,61.2,General Brain-AI Structure Reviews and Methods,brain-structure,"THE hypocotyl of Cucurbita, and, I suppose, of every plant whose cotyledons expand and act as leaves, is negatively geotropic in its ultimate reaction.",high citation signal (18); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.1086/328122,ee790553662782c8c6a7bd7b7b4056d4ee80f0ca,https://doi.org/10.1086/328122,,https://www.biodiversitylibrary.org/partpdf/223093,,paper,unknown,brain; cortex,"THE hypocotyl of Cucurbita, and, I suppose, of every plant whose cotyledons expand and act as leaves, is negatively geotropic in its ultimate reaction. When the hypocotyl is in any other position than the vertical, the under half of it grows more rapidly than the upper. This is regarded as a response to the unusual disposition of the burden of the parts of the hypocotyl, as they rest upon one another; and the seat of perceptivity and response is more specifically located in the green cortex.' The purpose of the reaction is to get the cotyledons into the light, which, when the seed germinates in the ground, will be accomplished by pushing them upward. Now it is evident without argument that an excess of growth of the under half of the hypocotyl will place its upper end in a vertical position, so that its further growth will be upward only in case the basal end is fixed in its position and the naturally upper end is free-a condition which is fulfilled in nature by a considerable growth of the root before the elongation of the shoot commences. Teleologically, perhaps phylogenetically, the geotropism of the shoot has been developed along lines of ""lengthwise"" propriety: i. e., in order to secure a particular linear arrangement of root, hypocotyl, cotyledon, etc. But in the individual plant today, according to Czapek's explanation (loc. cit.), which is the only rational one I am acquainted with, the response is to a disturbance of the normal ""crosswise"" arrangement, so that each growing part of the hypocotyl acts without reference to the parts more or less remote from the cotyledons. The question as to whether or not any trace of the development of geotropism remains in its manifestation in the present"
7,1900,"Observations on the weight and length of the central nervous system and of the legs in frogs, of different sizes (Rana virescens brachycephala- cope)","H. H. Donaldson, D. Schoemaker",Unknown venue,1900-02-01,14,0,50.74,General Brain-AI Structure Reviews and Methods,,"Positions Observations on the weight and length of the central nervous system and of the legs in frogs, of different sizes (Rana virescens brachycephala- cope) within General Brain Science and Reviews.",high citation signal (14),"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1002/cne.910100105,0a64e54dc23a4fc2f269388e40904450a55cab99,https://doi.org/10.1002/cne.910100105,,,,paper,unknown,brain,
8,1900,The Pathology of the Emotions,J. Macpherson,Edinburgh medical journal,1900-01-01,13,0,52.7,General Brain-AI Structure Reviews and Methods,brain-structure,"with which he deals. Consequently, the book is not one which it is possible to skim through in an idle hour.",high citation signal (13); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",,59ae6ecb7f8ac192098dc45e9c402f6b38680c7f,https://www.semanticscholar.org/paper/59ae6ecb7f8ac192098dc45e9c402f6b38680c7f,,,,Review,unknown,brain; cerebral,"with which he deals. Consequently, the book is not one which it is possible to skim through in an idle hour. There is not always an apparent thread of argument running through the chapters, or an obvious guiding principle upon which one may rest and survey the almost limitless field of detail. The author's conception is, however, apparent in the following extract from the preface:?"" If the physiological condition of states of consciousness of central or cerebral origin, and those states of consciousness of peripheral origin, internal or external, are"
9,1900,"General Physiology, an Outline of the Science of Life","Max Verworn, F. S. Lee",The Indian medical gazette,1900-06-01,9,0,47.65,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,"is as good as the translation, it is very good indeed.",high citation signal (9); open-access PDF metadata; brain-structure signal,"Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",10.5962/BHL.TITLE.24720,a5d6f983a53c4a5d18fb7ab75052e2fe25267410,https://doi.org/10.5962/BHL.TITLE.24720,,https://doi.org/10.5962/bhl.title.24720,,paper,unknown,brain,"is as good as the translation, it is very good indeed. As the author remarks it appears more and more clear that the general problems of life are cell problems:?""the elementaiy constituent of all living substance, and the substratum of all elementaiy vital phenomena is the cell. Hence if the task of physiology lies in the explanation of vital phenomena, it is evident that general physiology can be only cell-physiology.""? After discussing briefly the methods of physiological leseaich the author gives us some twenty pa<res of well written and most interesting history ?of physiological research from its easiest times with its curious attempts to explain vital phenomena by the doctrine of the pneuma afterwards divided into two sections by Erasistratus, viz., the vital spirits in the heart and the animal spirits in the brain. From this"
10,1900,The Gross and Minute Anatomy of the Central Nervous System,H. C. Gordinier,Unknown venue,1900-06-01,8,0,44.55,General Brain-AI Structure Reviews and Methods,,Positions The Gross and Minute Anatomy of the Central Nervous System within General Brain Science and Reviews.,high citation signal (8); open-access PDF metadata,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Metadata-level ranking should be complemented with full-text expert review before strong claims are made.",10.1097/00005053-190006000-00022,44fad0492cf72904841526e7ffc6e4df0c6e80de,https://doi.org/10.1097/00005053-190006000-00022,,https://journals.lww.com/jonmd/citation/1900/06000/a_gross_and_minute_anatomy_of_the_central_nervous.22.aspx,,paper,unknown,brain,
