rank,year,category,keywordTags,title,authors,venue,citationCount,importanceScore,keyIdea,strengths,limitations,url,doi,sourceId
1,1900,"Electrophysiology, Neural Signals, and AI Decoding",brain-structure;neural-signals,Hughlings Jackson and the Cortical Motor Centres in the Light of Physiological Research,E. Hitzig,British medical journal,40,102.24,"Two cases are mentioned by Byrom Bramwell, and two probable cases by Sternberg.",high citation signal (40); open-access PDF metadata; brain-structure signal,"Signal artifacts, montage choices, source localization, and session drift can dominate apparent model performance.; Temporal precision does not automatically imply anatomical specificity.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1136/bmj.2.2083.1564,10.1136/bmj.2.2083.1564,2e877e4462d51a9abde3a79f180cd6bb78c2e220
2,1900,"Connectomics, Graph Models, and Brain Networks",brain-structure;connectome,Some recent researches on the topography of the convolutions and fissures of the brain,"E. H. Taylor, W. Haughton",Unknown venue,33,81.87,Positions Some recent researches on the topography of the convolutions and fissures of the brain within General Brain Science and Reviews.,high citation signal (33); brain-structure signal,"Graph results can depend strongly on parcellation, thresholding, acquisition, and preprocessing choices.; Correlation networks are often interpreted more causally than the evidence supports.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1007/BF03045171,10.1007/BF03045171,a1655c41b66c7da2c85d48ba53d81517c29ce7c7
3,1900,General Brain-AI Structure Reviews and Methods,brain-structure,The Anatomy of the Brain,F. Davis,Buffalo Medical Journal,21,64.84,Positions The Anatomy of the Brain within General Brain Science and Reviews.,high citation signal (21); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://www.semanticscholar.org/paper/704cf702361ce92ac07db18e62ba5a4c9fe10a17,,704cf702361ce92ac07db18e62ba5a4c9fe10a17
4,1900,"Cognitive Architectures, Learning, and Systems Neuroscience",neural-signals;clinical-neuroai,Death by Starvation,J. Morley,The Hospital,20,85.2,he article by Rudman and Feller' in this issue of the journal serves to highlight the poor nutritional status of America's institutionalized elT derly.,high citation signal (20),"Task designs can oversimplify cognition and limit ecological validity.; Circuit-behavior correlations need causal perturbation or strong model comparison before mechanistic claims are secure.; Signal drift, artifacts, and session effects can limit real-world decoding reliability.",https://doi.org/10.1111/j.1532-5415.1989.tb05881.x,10.1111/j.1532-5415.1989.tb05881.x,3e2672b9bfe1c58d99d9a400fb900e30b0cfda64
5,1900,Clinical NeuroAI and Brain Disorders,brain-structure;clinical-neuroai,EXPERIMENTAL AND CLINICAL NOTES ON THE SUBARACHNOID SPACE.,"D. Tait, Guido Caglieri",Unknown venue,19,61.32,"From the exclusive domain of anatomy and physiology the meningeal route has made its way through the work of clinicians, to the sphere of practical medicine and surgery.",high citation signal (19); open-access PDF metadata; brain-structure signal,"Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1001/JAMA.1900.24620270006001A,10.1001/JAMA.1900.24620270006001A,2a71ee28cc6587908c4d5a6ce9436f1935b8cbb3
6,1900,General Brain-AI Structure Reviews and Methods,brain-structure,Studies on the Geotropism of Stems. II,E. B. Copeland,Botanical Gazette,18,61.2,"THE hypocotyl of Cucurbita, and, I suppose, of every plant whose cotyledons expand and act as leaves, is negatively geotropic in its ultimate reaction.",high citation signal (18); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1086/328122,10.1086/328122,ee790553662782c8c6a7bd7b7b4056d4ee80f0ca
7,1900,General Brain-AI Structure Reviews and Methods,brain-structure,"Observations on the weight and length of the central nervous system and of the legs in frogs, of different sizes (Rana virescens brachycephala- cope)","H. H. Donaldson, D. Schoemaker",Unknown venue,14,51.94,"Positions Observations on the weight and length of the central nervous system and of the legs in frogs, of different sizes (Rana virescens brachycephala- cope) within General Brain Science and Reviews.",high citation signal (14); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1002/cne.910100105,10.1002/cne.910100105,0a64e54dc23a4fc2f269388e40904450a55cab99
8,1900,General Brain-AI Structure Reviews and Methods,brain-structure,The Pathology of the Emotions,J. Macpherson,Edinburgh medical journal,13,52.7,"with which he deals. Consequently, the book is not one which it is possible to skim through in an idle hour.",high citation signal (13); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://www.semanticscholar.org/paper/59ae6ecb7f8ac192098dc45e9c402f6b38680c7f,,59ae6ecb7f8ac192098dc45e9c402f6b38680c7f
9,1900,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,"General Physiology, an Outline of the Science of Life","Max Verworn, F. S. Lee",The Indian medical gazette,9,71.65,"is as good as the translation, it is very good indeed.",high citation signal (9); open-access PDF metadata; brain-structure signal,"Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.5962/BHL.TITLE.24720,10.5962/BHL.TITLE.24720,a5d6f983a53c4a5d18fb7ab75052e2fe25267410
10,1900,General Brain-AI Structure Reviews and Methods,brain-structure,The Gross and Minute Anatomy of the Central Nervous System,H. C. Gordinier,Unknown venue,8,45.75,Positions The Gross and Minute Anatomy of the Central Nervous System within General Brain Science and Reviews.,high citation signal (8); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1097/00005053-190006000-00022,10.1097/00005053-190006000-00022,44fad0492cf72904841526e7ffc6e4df0c6e80de
11,1900,General Brain-AI Structure Reviews and Methods,brain-structure,Untersuchungen über die menschliche Neuroglia,J. Aguerre,Unknown venue,7,40.63,"Positions Untersuchungen über die menschliche Neuroglia within Cellular, Molecular, and Synaptic Neuroscience.",high citation signal (7); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1007/BF02976648,10.1007/BF02976648,0e693fbc1c4655551fec319b3ced2a4140003f4a
12,1900,General Brain-AI Structure Reviews and Methods,brain-structure,A new brain microtome,H. Goddard,Unknown venue,5,44.45,Positions A new brain microtome within General Brain Science and Reviews.,high citation signal (5); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1002/CNE.910100205,10.1002/CNE.910100205,e73bb973be3bdefb890aedb939eeefec710e396f
13,1900,General Brain-AI Structure Reviews and Methods,brain-structure,A brief summary of the researches of theodore kaes on the medullation of the intra-cortical fibers of man at different ages,H. Thompson,Unknown venue,5,37.45,Positions A brief summary of the researches of theodore kaes on the medullation of the intra-cortical fibers of man at different ages within General Brain Science and Reviews.,high citation signal (5); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1002/cne.910100306,10.1002/cne.910100306,a72683e06c61756a69d13f8ad728a95dc09765ab
14,1900,General Brain-AI Structure Reviews and Methods,brain-structure,THE CEREBROSPINAL FLUID. ITS SPONTANEOUS ESCAPE FROM THE NOSE. WITH OBSERVATIONS ON ITS POSITION AND FUNCTION IN THE HUMAN SUBJECT,S. Thomson,Unknown venue,5,35.45,Positions THE CEREBROSPINAL FLUID. ITS SPONTANEOUS ESCAPE FROM THE NOSE. WITH OBSERVATIONS ON ITS POSITION AND FUNCTION IN THE HUMAN SUBJECT within General Brain Science and Reviews.,high citation signal (5); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1097/00005053-190002000-00016,10.1097/00005053-190002000-00016,4debe31673a1ce861faa810174aa96b84b685da4
15,1900,"Connectomics, Graph Models, and Brain Networks",brain-structure;connectome,Preliminary List of the Mammals of New York,Unknown authors,American Naturalist,4,44.37,Reissner's Fibre. This fibre has been found by Sargent 1 to extend from the posterior end of the spinal cord anteriorly through the central canal and the ventricles of the brain to the anterior end of the optic lobes.,high citation signal (4); open-access PDF metadata; brain-structure signal,"Graph results can depend strongly on parcellation, thresholding, acquisition, and preprocessing choices.; Correlation networks are often interpreted more causally than the evidence supports.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1086/277625,10.1086/277625,8a588845da4a7938c9795378e21c76dd56c1e4b5
16,1900,General Brain-AI Structure Reviews and Methods,brain-structure,140 Ueber das Gewicht des schwersten bis jetzt beschriebenen Gehirns (The Weight of the Heaviest Brain Yet Described),Bonar,Unknown venue,4,41.17,Positions 140 Ueber das Gewicht des schwersten bis jetzt beschriebenen Gehirns (The Weight of the Heaviest Brain Yet Described) within General Brain Science and Reviews.,high citation signal (4); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1097/00005053-190012000-00006,10.1097/00005053-190012000-00006,64a4090e4da9052628ee1679ba38b638b027e297
